data,label
"""Ka-ching! Incoming money | RM 25.00 received from MICHAEL TAN for Fund Transfer.""",1
"""Ka-ching! Incoming money | RM 25.00 received from MICHAEL TAN for JEREMY GOO. """,1
"""Payment To: A&W SERI ISKANDAR | A&W SERI ISKANDAR: RM19.00 has been deducted from you TNG eWallet. Merchant Reference No. 07REAV66SX2NJJ""",0
"""Payment To: Golden Screen Cinemas Sdn Bhd | Golden Screen Cinemas Sdn Bhd: RM19.00 has been deducted from you TNG eWallet. Merchant Reference No. 07REAV66SX2NKK""",0
"""DuitNow Transfer is successful! | You have successfully transferred RM 10.00 to MICHAEL TAN""",0
"""DuitNow Payment | You have paid RM6.00 to island one cafe and bakery.""",0
"""Transfer Successful. | RM 10.00 has been successfully transferred to TOM CASS.""",0
"""You've received money! | TOM CASS has transferred RM 10.00 to you. Tap here to check the transaction details.""",1
"""You've received money! | THANALETCHUMY has transferred RM 1450.00 to you. Tap here to check the transaction details.""",1
"""Maybank2u: Funds Received | You've just received RM34.00 in your account ending ***7654. REF: 20240801CIGGMYKL020ORM01052599""",1
"""Maybank2u: Scan & Pay | Successful payment to RM 10.00 to MUHAMMAD HAIKAL. REF: 193620507Q""",0
"""MayBank2u: Transfer | You've transferred RM 10.00 to JEREMY FOO FANG LOONG's TOUCH N GO eWALLET account ending ****1234. REF: 189912338M""",0
"""Maybank2u: Card Transaction | You've spent RM 6.00 at MYCU RETAIL - C POKET with your Maybank Debit Card Visa ending 1234. View your receipt now.""",0
"""Maybank2u: Scan & Pay | Successful payment of RM 4.00 to RAZAKZAITOMENENTERPRISE. REF: 74382253.""",0
"""Maybank2u: Transfer | You've transferred RM 4.00 to WAN NORHAZIQAH BINTI's MAYBANK account ending ****4475. REF: 624207663M""",0
"""DuitNow Transfer to CHOONG JIA WEN | DigiBank. DuitNow Transfer RM 1800.00 to ***2987 on 14 Jul 2024 13:39:20. Call 1800 81 1494 if you did not perform this transaction.""",0
"""You've received a fund transfer. | You've received RM 1800.00 in your account ***5432 on 12 Jul 2024 06:36:34. Log in to Rize and check your account for transaction details.""",1
