data,label
"""Transfer Successful. | RM 10.00 has been successfully transfereed to BEN LOO.""",4
"""Payment To: Golden Screen Cinemas Sdn Bhd | Golden Screen Cinemas Sdn Bhd: RM19.00 has been deducted from you TNG eWallet. Merchant Reference No. 07REAV66SX2NKK""",1
"""Payment To: McD KAMPAR | McD KAMPAR: RM12.50 has been deducted from you TNG eWallet. Merchant Reference No. 7RWFE66ZS1QX8""",3
"""Payment To: A&W SERI ISKANDAR | A&W SERI ISKANDAR: RM19.00 has been deducted from you TNG eWallet. Merchant Reference No. 07SEA44SR3NPP""",3
"""Payment To: TEXAS CHICKEN (MALAYSIA) SDN BHD | TEXAS CHICKEN (MALAYSIA) SDN BHD: RM34.00 has been deducted from you TNG eWallet. Merchant Reference No. 4523432312""",3
"""Payment To: TGV Cinemas Sdn Bhd | TGV Cinemas Sdn Bhd: RM13.00 has been deducted from you TNG eWallet. Merchant Reference No. 07GFDV23SX2NSA""",1
"""Transfer Successful. | RM 10.00 has been successfully transferred to HARRY YIM.""",4
"""Transfer Successful. | RM 23.50 has been successfully transferred to SAYO NARA.""",4
"""Transfer Successful. | RM 134.98 has been successfully transferred to JAN KEN.""",4
"""Payment To: Keretapi Tanah Melayu Berhad (KTMB) | Keretapi Tanah Melayu Berhad (KTMB): RM58.00 has been deducted from you TNG eWallet. Merchant Reference No. 07XEGV78CV3BNG""",0
"""DuitNow Payment | You have paid RM6.00 to island one cafe and bakery.""",3
"""Maybank2u: Scan & Pay | Successful payment to RM 10.00 to MUHAMMAD HAIKAL. REF: 193620507Q""",4
"""Maybank2u: Scan & Pay | Successful payment to RM 45.00 to TOR SUI WONG. REF: 194567456E""",4
"""Maybank2u: Card Transaction | You've spent RM 6.00 at MYCU RETAIL - C POKET with your Maybank Debit Card Visa ending 1234. View your receipt now""",3
"""Maybank2u: Card Transaction | You've spent RM 105.80 at GRAB-EC with your Maybank Debit Card Visa ending 1234. View your receipt now""",0
"""Maybank2u: Transfer | You've transferred RM 4.00 to WAN NORHAZIQAH BINTI's MAYBANK account ending ****4475. REF: 624207663M""",4
"""Maybank2u: Scan & Pay | Successful payment of RM 4.00 to RAZAKZAITOMENENTERPRISE. REF: 74382253.""",4
"""Payment To: 7eleven Greentown Ipoh PRK | 7eleven Greentown Ipoh PRK: RM6.00 has been deducted from you TNG eWallet. Merchant Reference No. 07CDF67FD4YTT""",3
"""Payment To: CelcomDigi Berhad | CelcomDigi Berhad: RM35.00 has been deducted from you TNG eWallet. Merchant Reference No. 07LOP22RT3TRR""",2
"""Payment To: Maxis Berhad | Maxis Berhad: RM56.00 has been deducted from you TNG eWallet. Merchant Reference No. 07TRE77ST5NUU""",2
"""Maybank2u: Funds Received | You've just received RM34.00 in your account ending ***7654. REF: 20240801CIGGMYKL020ORM01052599""",4
"""You've received money! | TOM CASS has transferred RM 10.00 to you. Tap here to check the transaction details.""",4
"""Ka-ching! Incoming money | RM 25.00 received from MICHAEL TAN for Fund Transfer.""",4
"""Ka-ching! Incoming money | RM 25.00 received from YOKE FOK WO for JEREMY GOO.""",4
"""You've received money! | WOL RIN has transferred RM 100.00 to you. Tap here to check the transaction details.""",4
"""You've received a fund transfer. | You've received RM 1800.00 in your account ***5432 on 12 Jul 2024 06:36:34. Log in to Rize and check your account for transaction details.""",4
"""Payment To: Tenaga Nasional Berhad | Tenaga Nasional Berhad: RM191.00 has been deducted from you TNG eWallet. Merchant Reference No. 07RTAV56SX2NDF""",4
"""Payment To: Indah Water Konsortium Sdn Bhd | Indah Water Konsortium Sdn Bhd: RM158.00 has been deducted from you TNG eWallet. Merchant Reference No. 07TRCV74CV7UNK""",1
"""Payment To: Telekom Malaysia Berhad  (TM)  | Telekom Malaysia Berhad (TM): RM200.00 has been deducted from you TNG eWallet. Merchant Reference No. 07JHGV34CV6LOP""",2
"""Maybank2u: Card Transaction | You've spent RM 30.00 at LOOP KARAOKE with your Maybank Debit Card Visa ending 1234. View your receipt now""",1
"""Maybank2u: Card Transaction | You've spent RM 13.00 at MBO Cinema Sdn. Bhd with your Maybank Debit Card Visa ending 1234. View your receipt now""",1
"""Maybank2u: Card Transaction | You've spent RM 36.00 at NEWS STAND BOOK STORE with your Maybank Debit Card Visa ending 1234. View your receipt now""",4
"""Payment To: redBus | redBus: RM25.00 has been deducted from you TNG eWallet. Merchant Reference No. 07RGHJ89CV3JUZR""",0
