data,label
"""Ka-ching! Incoming money | RM 25.00 received from MICHAEL TAN for Fund Transfer.""",1
"""Ka-ching! Incoming money | RM 25.00 received from MICHAEL TAN for JEREMY GOO. """,1
"""Payment To: A&W SERI ISKANDAR | A&W SERI ISKANDAR: RM19.00 has been deducted from you TNG eWallet. Merchant Reference No. 07REAV66SX2NJJ""",1
"""Payment To: Golden Screen Cinemas Sdn Bhd | Golden Screen Cinemas Sdn Bhd: RM19.00 has been deducted from you TNG eWallet. Merchant Reference No. 07REAV66SX2NKK""",1
"""DuitNow Transfer is successful! | You have successfully transferred RM 10.00 to MICHAEL TAN""",1
"""DuitNow Payment | You have paid RM6.00 to island one cafe and bakery.""",1
"""Transfer Successful. | RM 10.00 has been successfully transferred to TOM CASS.""",1
"""You've received money! | TOM CASS has transferred RM 10.00 to you. Tap here to check the transaction details.""",1
"""Maybank2u: Funds Received | You've just received RM34.00 in your account ending ***7654. REF: 20240801CIGGMYKL020ORM01052599""",1
"""Maybank2u: Scan & Pay | Successful payment to RM 10.00 to MUHAMMAD HAIKAL. REF: 193620507Q""",1
"""MayBank2u: Transfer | You've transferred RM 10.00 to JEREMY FOO FANG LOONG's TOUCH N GO eWALLET account ending ****1234. REF: 189912338M""",1
"""Maybank2u: Card Transaction | You've spent RM 6.00 at MYCU RETAIL - C POKET with your Maybank Debit Card Visa ending 1234. View your receipt now.""",1
"""Maybank2u: Scan & Pay | Successful payment of RM 4.00 to RAZAKZAITOMENENTERPRISE. REF: 74382253.""",1
"""Maybank2u: Transfer | You've transferred RM 4.00 to WAN NORHAZIQAH BINTI's MAYBANK account ending ****4475. REF: 624207663M""",1
"""DuitNow Transfer to CHOONG JIA WEN | DigiBank. DuitNow Transfer RM 1800.00 to ***2987 on 14 Jul 2024 13:39:20. Call 1800 81 1494 if you did not perform this transaction.""",1
"""You've received a fund transfer. | You've received RM 1800.00 in your account ***5432 on 12 Jul 2024 06:36:34. Log in to Rize and check your account for transaction details.""",1
"""WhatsApp | 27 messages from 6 chats""",0
"""WhatsApp | 26 messages from 6 chats""",0
"""jclim0623: vinsent.kong_ | hi bro""",0
"""CS1 KING: Ammar Q | hi guys""",0
"""Algorithm & Data Structure: Shashi Baka (OOP Lecturer) | Graphs.pptx""",0
"""Deepavali Night 2024: Yuvanes | alright okay""",0
"""sharvin7._: akramfaisal_ | wo shi bai se ren""",0
"""Sharvin | Hello""",0
"""lester_kzj: cj_lim | gei""",0
"""Sister | eat eat eat""",0
"""Lester Khoo Zhen Jie | Fw: BOOKING TRANSPORTATION VAN OF UTP Regards, LESTER KHOO ZHEN JIE Secretary, SYNTECH Organization, UNIVERSITI TEKNOLOGI PETRONAS 32610 Seri Iskandar, Perak Darul Ridzuan, Malaysia. From: Sharvin A/L Kanesan <sharvin_22006930@utp.edu.my>""",0
"""Lester Khoo Zhen Jie | Hello friend Come to my house to study. Regards, LESTER KHOO ZHEN JIE Secretary, SYNTECH Organization, UNIVERSITI TEKNOLOGI PETRONAS 32610 Seri Iskandar, Perak Darul Ridzuan, Malaysia.""",0
"""[MYTHIC GHOST] has arrived | Unlock with 2x COD Points - Mythic Ghost - Eternal and his legendary KN-44 - Dark Harbinger has spawned in the War's Paragon Mythic Drop. Log in and draw now!",0
